PR3,Apples,Perishable Items,1,In warm places
VG45,Vitamin Gummies,Supplement Items,13,Vitamin C
TJ8,Food Tupperwares,Other Items,9,For storing food
P15,Rice,Packaged Items,50,1kg bags
PR7,Bananas,Perishable Items,12,Room temperature
VG50,Omega 3 Capsules,Supplement Items,15,200mg per capsule
TJ12,Plastic Plates,Other Items,60,Disposable plates
P18,Cereal Box,Packaged Items,30,500g box
PR10,Tomatoes,Perishable Items,1,Refrigerate
PR14,Carrots,Perishable Items,15,Keep cool
VG60,Vitamin D Tablets,Supplement Items,22,1000 IU per tablet
20,Apple,Perishable Items,1,Fridge
